Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Banaskanth,Amirgadh,Cotton,Other,FAQ,2750,2750,2750,22-Jun-20
2,Banaskanth,Amirgadh,Cotton,Other,FAQ,4000,5000,4500,15-Feb-20
3,Banaskanth,Amirgadh,Cotton,Other,FAQ,4500,5490,4995,11-Jan-20
4,Banaskanth,Amirgadh,Cotton,Other,FAQ,4550,5085,4815,13-Mar-18
5,Banaskanth,Amirgadh,Cotton,Other,FAQ,4660,4660,4660,10-Oct-19
6,Banaskanth,Amirgadh,Cotton,Other,FAQ,4755,4755,4755,14-May-18
7,Banaskanth,Amirgadh,Cotton,Other,FAQ,4800,6860,6860,22-Feb-24
8,Banaskanth,Amirgadh,Cotton,Other,FAQ,4850,5015,4930,26-Oct-20
9,Banaskanth,Amirgadh,Cotton,Other,FAQ,5000,6210,5605,11-Feb-21
10,Banaskanth,Amirgadh,Cotton,Other,FAQ,5100,5125,5110,09-Feb-18
11,Banaskanth,Amirgadh,Cotton,Other,FAQ,5250,6250,5750,23-Feb-21
12,Banaskanth,Amirgadh,Cotton,Other,FAQ,5450,5555,5500,21-Dec-18
13,Banaskanth,Amirgadh,Cotton,Other,FAQ,5555,6180,5865,09-Mar-21
14,Banaskanth,Amirgadh,Cotton,Other,FAQ,5570,5680,5625,10-Dec-18
15,Banaskanth,Amirgadh,Cotton,Other,FAQ,5585,5805,5695,14-Nov-18
16,Banaskanth,Amirgadh,Cotton,Other,FAQ,5600,5775,5685,11-Mar-19
17,Banaskanth,Amirgadh,Cotton,Other,FAQ,5685,5825,5755,17-Nov-18
18,Banaskanth,Amirgadh,Cotton,Other,FAQ,5700,5800,5750,15-Nov-18
19,Banaskanth,Amirgadh,Cotton,Other,FAQ,5750,7130,6850,29-Dec-23
20,Banaskanth,Amirgadh,Cotton,Other,FAQ,6005,8395,8395,22-Dec-22
21,Banaskanth,Amirgadh,Cotton,Other,FAQ,7000,8420,8420,16-Jan-23
22,Banaskanth,Amirgadh,Cotton,Other,FAQ,7500,7905,7905,17-Nov-21
23,Banaskanth,Amirgadh,Cotton,Other,FAQ,7835,8330,8080,02-Nov-22
24,Banaskanth,Amirgadh,Cotton,Other,FAQ,8000,8550,8500,15-Dec-22
25,Banaskanth,Amirgadh,Cotton,Other,FAQ,8505,9450,9200,15-Feb-22
26,Amreli,Amreli,Cotton,Other,FAQ,3025,5505,5100,02-Nov-19
27,Amreli,Amreli,Cotton,Other,FAQ,3075,4660,3610,16-May-20
28,Amreli,Amreli,Cotton,Other,FAQ,3090,4710,3610,30-May-20
29,Amreli,Amreli,Cotton,Other,FAQ,3100,4970,4445,18-Aug-20
30,Amreli,Amreli,Cotton,Other,FAQ,3125,4970,4350,01-Jul-20
31,Amreli,Amreli,Cotton,Other,FAQ,3155,4905,4235,25-Jun-20
32,Amreli,Amreli,Cotton,Other,FAQ,3170,6520,6205,28-Sep-19
33,Amreli,Amreli,Cotton,Other,FAQ,3200,5200,4935,23-Nov-19
34,Amreli,Amreli,Cotton,Other,FAQ,3250,4845,4255,18-Jul-20
35,Amreli,Amreli,Cotton,Other,FAQ,3400,5120,4300,29-Sep-20
36,Amreli,Amreli,Cotton,Other,FAQ,3400,5135,4600,17-Mar-18
37,Amreli,Amreli,Cotton,Other,FAQ,3455,5360,4825,29-Feb-20
38,Amreli,Amreli,Cotton,Other,FAQ,3475,5175,4705,18-Sep-20
39,Amreli,Amreli,Cotton,Other,FAQ,3500,5155,4700,01-Sep-20
40,Amreli,Amreli,Cotton,Other,FAQ,3500,5175,4825,21-Nov-19
41,Amreli,Amreli,Cotton,Other,FAQ,3500,5385,5095,03-Nov-20
42,Amreli,Amreli,Cotton,Other,FAQ,3500,5415,4855,07-Nov-19
43,Amreli,Amreli,Cotton,Other,FAQ,3500,7535,6970,05-Jun-21
44,Amreli,Amreli,Cotton,Other,FAQ,3500,7820,7440,23-Jun-21
45,Amreli,Amreli,Cotton,Other,FAQ,3500,8260,7920,20-Jul-21
46,Amreli,Amreli,Cotton,Other,FAQ,3510,6560,6330,18-Sep-19
47,Amreli,Amreli,Cotton,Other,FAQ,3530,5835,5485,30-Nov-20
48,Amreli,Amreli,Cotton,Other,FAQ,3535,5075,4500,22-Sep-20
49,Amreli,Amreli,Cotton,Other,FAQ,3545,5165,4645,03-Sep-20
50,Amreli,Amreli,Cotton,Other,FAQ,3550,5485,5190,05-Nov-20
51,Amreli,Amreli,Cotton,Other,FAQ,3560,5085,4245,08-Jun-20
52,Amreli,Amreli,Cotton,Other,FAQ,3575,5090,4555,22-Aug-20
53,Amreli,Amreli,Cotton,Other,FAQ,3580,4995,4465,20-Aug-20
54,Amreli,Amreli,Cotton,Other,FAQ,3600,5580,4970,22-Feb-20
55,Banaskanth,Amirgadh,Cotton,Other,FAQ,4000,5300,4650,24-Dec-19
56,Banaskanth,Amirgadh,Cotton,Other,FAQ,4300,5140,4720,31-Jan-20
57,Banaskanth,Amirgadh,Cotton,Other,FAQ,4350,5250,4800,24-Jan-20
58,Banaskanth,Amirgadh,Cotton,Other,FAQ,4370,4920,4645,29-Nov-19
59,Banaskanth,Amirgadh,Cotton,Other,FAQ,4500,4775,4635,01-Nov-19
